Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Total Ascent,Total Descent,Number of Laps
Walking,2026-08-30 15:26:00,false,Evening Walk,5.15,548,0:59:04,108,122,1.1,5.2,43,42,4
Cycling,2026-08-27 17:05:00,false,Morning Ride,20.74,438,0:44:42,142,166,2.3,27.8,266,281,3
Running,2026-08-23 17:51:00,false,Evening Run,14.15,931,1:13:24,148,177,3.1,5:11,268,236,6
Cycling,2026-08-21 05:01:00,false,Club Ride,33.36,953,1:24:08,127,152,2.0,23.8,182,171,7
Cycling,2026-08-20 18:06:00,false,Evening Ride,28.18,494,1:04:06,131,160,2.0,26.4,179,205,5
Running,2026-08-18 19:41:00,false,Evening Run,9.84,641,1:04:39,144,170,2.7,6:34,160,137,5
Hiking,2026-08-17 11:00:00,false,Hike,9.23,"1,909",2:35:37,107,127,1.4,3.6,282,275,12
Running,2026-08-14 15:06:00,false,Lunch Run,10.39,555,1:02:53,147,158,2.9,6:03,131,130,5
Running,2026-08-10 14:52:00,false,Lunch Run,15.58,"1,033",1:25:20,150,162,3.4,5:29,184,163,7
Cycling,2026-08-10 06:34:00,false,Club Ride,43.50,833,1:26:41,142,165,2.9,30.1,678,643,7
Running,2026-08-09 13:42:00,false,Long Run,5.60,356,0:32:08,129,149,1.5,5:44,87,91,2
Cycling,2026-08-06 18:32:00,false,Club Ride,27.60,589,1:08:50,141,164,2.6,24.1,142,152,5
Cycling,2026-08-04 12:54:00,false,Evening Ride,39.88,"1,121",1:52:21,137,165,2.8,21.3,316,276,9
Hiking,2026-08-02 08:46:00,false,Hike,14.32,"2,458",3:22:39,124,139,2.5,4.2,748,764,16
Running,2026-07-29 05:10:00,false,Lunch Run,7.05,582,0:46:11,167,195,3.8,6:33,119,114,3
Cycling,2026-07-26 11:32:00,false,Club Ride,23.72,547,1:00:31,146,164,2.8,23.5,159,142,5
Running,2026-07-24 13:19:00,false,Lunch Run,10.00,430,0:49:00,170,182,4.1,4:54,85,84,4
Cycling,2026-07-23 17:50:00,false,Club Ride,39.70,710,1:27:35,108,136,1.2,27.2,229,240,7
Cycling,2026-07-22 19:57:00,false,Lunch Ride,41.43,993,1:50:43,142,169,3.1,22.5,550,497,9
Cycling,2026-07-21 15:20:00,false,Lunch Ride,39.29,868,1:32:15,147,167,3.2,25.6,264,276,7
Cycling,2026-07-20 18:04:00,false,Club Ride,36.54,878,1:17:34,130,143,2.1,28.3,400,373,6
Running,2026-07-20 12:00:00,false,Untitled,0.01,--,0:00:92,--,--,0.0,0.0,--,--,1
Running,2026-07-18 19:19:00,false,Lunch Run,11.20,575,0:59:00,163,189,3.8,5:16,220,246,4
Walking,2026-07-17 09:14:00,false,Walk,2.50,328,0:29:35,98,115,0.6,5.1,15,14,2
Running,2026-07-13 09:27:00,false,Morning Run,7.50,442,0:41:17,150,172,2.7,5:30,39,34,3
Cycling,2026-07-12 05:49:00,false,Morning Ride,18.89,407,0:41:08,135,146,1.9,27.6,225,200,3
Cycling,2026-07-11 06:22:00,false,Morning Ride,16.36,559,0:44:33,145,160,2.5,22.0,93,101,3
Cycling,2026-07-10 17:35:00,false,Club Ride,43.43,737,1:37:54,150,166,3.6,26.6,406,454,8
Running,2026-07-09 08:06:00,false,Evening Run,10.00,386,0:44:36,171,192,4.1,4:28,83,71,3
Cycling,2026-07-07 19:25:00,false,Evening Ride,20.42,566,0:49:12,129,144,1.8,24.9,256,219,4
Cycling,2026-07-04 11:12:00,false,Lunch Ride,27.65,611,1:17:20,148,165,3.1,21.5,299,304,6
Cycling,2026-07-03 19:55:00,false,Club Ride,32.39,917,1:11:34,144,173,2.8,27.1,300,276,5
Cycling,2026-07-02 12:09:00,false,Evening Ride,29.23,698,1:09:12,124,140,1.8,25.3,308,303,5
Cycling,2026-07-01 09:19:00,false,Evening Ride,75.60,"1,986",2:33:24,150,179,4.0,29.6,1179,1251,12
Cycling,2026-06-30 05:53:00,false,Evening Ride,27.40,672,0:57:15,134,148,2.1,28.7,380,432,4
Running,2026-06-29 10:57:00,false,Evening Run,8.28,442,0:45:23,157,186,3.1,5:29,51,51,3
Cycling,2026-06-27 18:44:00,false,Evening Ride,37.17,537,1:14:58,130,160,2.1,29.8,290,284,6
Cycling,2026-06-26 14:49:00,false,Lunch Ride,31.42,610,0:59:12,124,143,1.7,31.8,259,279,4
Cycling,2026-06-25 05:50:00,false,Morning Ride,27.64,506,0:53:11,131,150,1.9,31.2,191,190,4
Cycling,2026-06-24 11:41:00,false,Lunch Ride,38.01,641,1:26:48,126,142,2.0,26.3,355,353,7
Hiking,2026-06-22 07:59:00,false,Hike,5.45,877,1:22:37,108,131,1.2,4.0,167,176,6
Running,2026-06-21 11:35:00,false,Morning Run,9.99,396,0:55:58,142,167,2.5,5:36,107,91,4
Walking,2026-06-20 17:01:00,false,Walk,2.29,241,0:30:13,86,112,0.4,4.5,25,21,2
Cycling,2026-06-17 16:48:00,false,Evening Ride,32.91,"1,022",1:29:27,118,131,1.6,22.1,155,145,7
Running,2026-06-16 13:25:00,false,Long Run,8.15,574,0:44:21,160,187,3.3,5:26,68,60,3
Cycling,2026-06-15 08:15:00,false,Club Ride,38.76,651,1:02:11,141,153,2.5,37.4,157,175,5
Walking,2026-06-11 14:53:00,false,Evening Walk,2.92,373,0:31:29,100,125,0.7,5.6,27,23,2
Cycling,2026-06-10 08:46:00,false,Lunch Ride,36.04,739,1:20:43,110,129,1.3,26.8,414,464,6
Hiking,2026-06-09 11:45:00,false,Hike,5.89,"1,154",1:37:08,121,136,1.8,3.6,536,497,8
Running,2026-06-08 07:52:00,false,Morning Run,9.08,477,1:00:18,148,173,2.9,6:38,54,48,5
